Studienname,Uni/Hochschule,Stadt,Master-Info
Maschinenbau,Duale Hochschule Baden-Württemberg - Center for Advanced Studies (DHBW CAS), Bad Mergentheim | Friedrichshafen | Heidenheim an der Brenz | Heilbronn | Horb am Neckar | Karlsruhe | Lörrach | Mannheim | Mosbach | Ravensburg | Stuttgart | Villingen-Schwenningen,"Master of Engineering | 4 Semester (dual, berufsintegrierend)"
Maschinenbau,Technische Hochschule Brandenburg, Brandenburg an der Havel,"Master of Engineering | 3 Semester (Vollzeit, Teilzeit, dual)"
Maschinenbau,Universität Stuttgart, Stuttgart,Master of Science | 4 Semester (Vollzeit)
Additive Manufacturing and Lightweight Design,Hochschule für angewandte Wissenschaften Coburg, Coburg,Master of Engineering | 3 Semester (Vollzeit)
Advanced Precision Engineering,Hochschule Furtwangen, Villingen-Schwenningen,Master of Science | 3 Semester (Vollzeit)
Allgemeiner Maschinenbau,Frankfurt University of Applied Sciences, Frankfurt am Main,Master of Engineering | 4 Semester (Vollzeit)
Allgemeiner Maschinenbau,RWTH Rheinisch-Westfälische Technische Hochschule Aachen, Aachen,Master of Science | 3 Semester (Vollzeit)
Berechnung und Simulation im Maschinenbau,Hochschule für Angewandte Wissenschaften Hamburg (HAW), Hamburg,"Master of Science (M. Sc.) | 3 Semester (Vollzeit, Teilzeit)"
Computer Aided Conception and Production in Mechanical Engineering,RWTH Rheinisch-Westfälische Technische Hochschule Aachen, Aachen,Master of Science | 4 Semester (Vollzeit)
Defence Systems,Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg, Hamburg,Master of Science | 5 Trimester (Vollzeit)
Digitale Produktentwicklung - Maschinenbau,Hochschule Trier (University of Applied Sciences) - Umwelt-Campus Birkenfeld, Hoppstädten-Weiersbach,Master of Engineering | 4 Semester (Vollzeit)
Entwicklung und Management im Maschinen- und Automobilbau,Hochschule für angewandte Wissenschaften Coburg, Coburg,Master of Engineering | 3 Semester (Vollzeit)
